date,close,open,high,low,volume,change_pct,daily_return,log_return,direction,abs_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_5d_ann,rolling_vol_21d_ann,price_range_pct,is_trading_day
2024-03-30,121.35,123.02,123.5,121.2,2790000.0,-1.28%,-0.01277253498210229,-0.01285480508967363,0.0,0.01277253498210229,0.015672658795659846,0.024121780433603714,0.24879574533891016,0.3829213932445153,0.018696146967972664,0
2024-03-31,121.35,123.02,123.5,121.2,2790000.0,-1.28%,-0.01277253498210229,-0.01285480508967363,0.0,0.01277253498210229,0.015672658795659846,0.024121780433603714,0.24879574533891016,0.3829213932445153,0.018696146967972664,0
2024-04-01,119.42,121.4,122.4,119.0,1840000.0,-1.59%,-0.015904408735063824,-0.016032241053763982,0.0,0.015904408735063824,0.011189693916172397,0.024248446874047102,0.17763088409474756,0.3849321606497412,0.028006589785832006,1
2024-04-02,118.85,120.0,120.0,118.25,2000000.0,-0.48%,-0.004773069837548216,-0.004784497312643502,0.0,0.004773069837548216,0.008018590670390112,0.01837001528639828,0.1272911806744496,0.29161495216958894,0.014583333333333334,1
2024-04-03,122.7,119.5,123.0,118.76,5590000.0,3.24%,0.032393773664282755,0.031880157910662864,1.0,0.032393773664282755,0.019135854515903546,0.01871943025188158,0.30377227304275844,0.2971617427877871,0.03548117154811711,1
2024-04-04,125.3,125.6,128.99,125.02,7920000.0,2.12%,0.021189894050529734,0.02096851018515685,1.0,0.021189894050529734,0.02137545699826314,0.01937891128364838,0.3393248602665569,0.30763067961430257,0.031608280254777174,1
2024-04-05,125.3,125.6,128.99,125.02,7920000.0,2.12%,0.021189894050529734,0.02096851018515685,1.0,0.021189894050529734,0.02137545699826314,0.01937891128364838,0.3393248602665569,0.30763067961430257,0.031608280254777174,0
2024-04-06,125.3,125.6,128.99,125.02,7920000.0,2.12%,0.021189894050529734,0.02096851018515685,1.0,0.021189894050529734,0.02137545699826314,0.01937891128364838,0.3393248602665569,0.30763067961430257,0.031608280254777174,0
2024-04-07,125.3,125.6,128.99,125.02,7920000.0,2.12%,0.021189894050529734,0.02096851018515685,1.0,0.021189894050529734,0.02137545699826314,0.01937891128364838,0.3393248602665569,0.30763067961430257,0.031608280254777174,0
2024-04-08,128.3,126.45,129.4,126.45,5870000.0,2.39%,0.02394253790901857,0.023660409719568336,1.0,0.02394253790901857,0.020466037165095336,0.01925494952862082,0.3248882679710858,0.3056628477589864,0.023329379201265345,1
2024-04-09,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,1
2024-04-10,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,0
2024-04-11,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,0
2024-04-12,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,0
2024-04-13,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,0
2024-04-14,128.5,128.5,129.9,127.0,4870000.0,0.16%,0.001558846453624252,0.0015576327136836792,1.0,0.001558846453624252,0.015549107332235221,0.019002538627598407,0.24683442666087227,0.3016559489251441,0.022568093385214053,0
2024-04-15,134.1,129.99,134.7,127.4,15720000.0,4.36%,0.043579766536964826,0.042656885952358205,1.0,0.043579766536964826,0.015190759240675542,0.020936939328176567,0.24114582706250318,0.3323636080632177,0.05615816601277008,1
2024-04-16,133.5,134.05,136.6,133.03,10710000.0,-0.45%,-0.004474272930648726,-0.004484312447328576,0.0,0.004474272930648726,0.01883046847777109,0.019687714032979108,0.29892441997813984,0.3125327712877153,0.02663185378590073,1
2024-04-17,131.1,132.97,132.97,131.0,4280000.0,-1.80%,-0.01797752808988773,-0.018141087070650153,0.0,0.01797752808988773,0.02409126009885493,0.020052995783068607,0.382436897950461,0.3183314393029589,0.01481537188839587,1
2024-04-18,132.3,131.8,133.8,129.79,7640000.0,0.92%,0.009153318077803396,0.009111680351256033,1.0,0.009153318077803396,0.022725311537454124,0.018730036038774406,0.3607531367674231,0.2973301044352465,0.03042488619119893,1
2024-04-19,134.0,132.56,135.39,131.15,8420000.0,1.28%,0.012849584278155524,0.012767728830001188,1.0,0.012849584278155524,0.022713162491282506,0.01793115488188489,0.3605602766384027,0.2846482592258951,0.03198551599275785,1
2024-04-20,134.0,132.56,135.39,131.15,8420000.0,1.28%,0.012849584278155524,0.012767728830001188,1.0,0.012849584278155524,0.022713162491282506,0.01793115488188489,0.3605602766384027,0.2846482592258951,0.03198551599275785,0
2024-04-21,134.0,132.56,135.39,131.15,8420000.0,1.28%,0.012849584278155524,0.012767728830001188,1.0,0.012849584278155524,0.022713162491282506,0.01793115488188489,0.3605602766384027,0.2846482592258951,0.03198551599275785,0
2024-04-22,135.5,134.0,138.0,132.2,12880000.0,1.12%,0.011194029850746245,0.011131840368844199,1.0,0.011194029850746245,0.01320596844564562,0.017795136050240277,0.2096382499736671,0.28248902721297586,0.043283582089552325,1
2024-04-23,133.85,135.8,135.87,133.5,3460000.0,-1.22%,-0.01217712177121777,-0.012251870353394133,0.0,0.01217712177121777,0.014558431962501457,0.018105311962621846,0.23110794271099724,0.287412917174041,0.01745213549337264,1
2024-04-24,134.85,134.0,135.6,133.79,4950000.0,0.75%,0.007471049682480357,0.007443279619377426,1.0,0.007471049682480357,0.010202796602974195,0.017925902403772526,0.16196437493306598,0.28456487872078234,0.013507462686567181,1
2024-04-25,136.94,135.0,137.5,133.25,8800000.0,1.55%,0.015498702261772301,0.015379824107177843,1.0,0.015498702261772301,0.011083041681986011,0.01687471620619833,0.17593783236418797,0.2678778151583528,0.03148148148148148,1
2024-04-26,137.05,137.35,139.4,135.36,7240000.0,0.08%,0.0008032715057690876,0.000802949055878083,1.0,0.0008032715057690876,0.010785500834040212,0.016348900516884236,0.17121451783290076,0.2595307498620662,0.029413906079359245,1
