date,post_count,vader_compound_mean,vader_compound_std,vader_compound_sum,lm_net_mean,lm_net_std,lm_negative_mean,lm_positive_mean,lm_uncertainty_mean,lm_litigious_mean,pct_positive_vader,pct_negative_vader,pct_neutral_vader,pct_positive_lm,pct_negative_lm,pct_neutral_lm
2025-12-10,14,0.2855857142857143,0.5120494129658595,3.9981999999999998,-0.0023347896696581335,0.028732033916550048,0.8571428571428571,0.35714285714285715,0.5714285714285714,0.07142857142857142,0.5,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.5714285714285714
2025-12-11,7,0.34172857142857144,0.6792648445544779,2.3921,-0.00956388634583558,0.01410718840398734,5.714285714285714,1.2857142857142858,1.8571428571428572,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857
2025-12-12,13,0.4412307692307692,0.6562179914538251,5.736,-0.008762611083110395,0.06330484905223356,2.3846153846153846,1.4615384615384615,2.076923076923077,0.3076923076923077,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.3076923076923077
2025-12-13,8,0.569375,0.48538348535682885,4.555,0.016596844016198854,0.03288908031566216,0.125,1.25,0.5,0.25,0.75,0.125,0.125,0.375,0.0,0.625
2025-12-14,9,0.47177777777777785,0.7086260963614341,4.246,0.004871423040426422,0.02012562973346016,1.0,1.1111111111111112,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-12-15,9,0.6521111111111111,0.3848188516836345,5.869,-0.016848066340042836,0.03229575368989512,1.0,0.4444444444444444,1.0,0.2222222222222222,0.7777777777777778,0.0,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.4444444444444444
2025-12-16,13,0.6773384615384616,0.3699721713373893,8.8054,0.004209455460391704,0.014340273648613294,1.2307692307692308,1.6923076923076923,1.4615384615384615,0.15384615384615385,0.9230769230769231,0.07692307692307693,0.0,0.38461538461538464,0.23076923076923078,0.38461538461538464
2025-12-17,16,0.86109375,0.15434670266967157,13.7775,0.004731324339992898,0.014421045112436092,2.9375,2.75,1.8125,0.6875,1.0,0.0,0.0,0.5625,0.25,0.1875
2025-12-18,6,0.7007,0.369226521257615,4.2042,0.0018236888037350323,0.00805320590950749,1.5,1.1666666666666667,1.5,0.0,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666
2025-12-19,5,0.52884,0.3707008065812644,2.6442,0.003556372111517937,0.012985920543124684,2.2,2.0,2.6,0.2,0.8,0.0,0.2,0.2,0.4,0.4
2025-12-20,7,0.23408571428571429,0.7435974816807174,1.6386,-0.016779990092554476,0.024066947592413544,3.4285714285714284,0.8571428571428571,0.8571428571428571,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857
2025-12-21,16,0.28590625000000003,0.7315759367910255,4.5745000000000005,-0.0051988527737950796,0.016532183477936842,2.0625,1.4375,1.5,0.125,0.625,0.3125,0.0625,0.25,0.4375,0.3125
2025-12-22,11,0.5322272727272727,0.7196016788347691,5.8545,-0.007890075737891227,0.012275948794859465,3.6363636363636362,1.8181818181818181,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.18181818181818182,0.0,0.09090909090909091,0.45454545454545453,0.45454545454545453
2025-12-23,15,0.46120666666666665,0.6074826846052801,6.9181,-0.00013399865104427773,0.019891239106141035,1.4,1.4,1.0,0.2,0.6666666666666666,0.2,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.4
2025-12-24,16,0.31995625,0.6949504979673014,5.1193,0.002236833189947882,0.02095792816664965,1.75,2.0,0.75,0.125,0.625,0.3125,0.0625,0.375,0.375,0.25
2025-12-25,9,0.5904111111111111,0.45218609676892,5.3137,-0.0002456020594983502,0.013006831374026067,2.3333333333333335,1.5555555555555556,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556
2025-12-26,12,0.6307833333333334,0.46159980469771617,7.5694,-0.0035695096615224295,0.01267143512713366,2.0,1.1666666666666667,0.75,0.25,0.75,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.25
2025-12-27,12,0.48890833333333333,0.6725833675373477,5.8669,0.000580763042969822,0.028681784665610093,2.6666666666666665,3.0,1.5,0.08333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.5,0.16666666666666666,0.3333333333333333
2025-12-28,19,0.32286315789473685,0.6584757763287089,6.1344,-0.013240930832875428,0.026291668662456004,3.0,1.0526315789473684,1.3157894736842106,0.21052631578947367,0.631578947368421,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.47368421052631576,0.3684210526315789
2025-12-29,17,0.3959764705882353,0.6399024979727496,6.7316,-6.575432790027729e-05,0.038252393840806635,1.1176470588235294,1.0588235294117647,1.3529411764705883,0.058823529411764705,0.6470588235294118,0.23529411764705882,0.11764705882352941,0.5882352941176471,0.23529411764705882,0.17647058823529413
2025-12-30,12,0.22859166666666667,0.7507390243297036,2.7431,-0.008792048569358642,0.026010845387817942,1.4166666666666667,1.9166666666666667,1.3333333333333333,0.0,0.5,0.3333333333333333,0.16666666666666666,0.25,0.4166666666666667,0.3333333333333333
